Descrição,Valor,Criação,Tipo,Identificação,Valor Gasto,Valor Recebido,📊 Mês
"PAY -DROGARIA DO-05/06 -31,90",-31.9,"June 5, 2023",saída,outros,-31.9,0,
"PAY -REST PIZZAR-03/06 -21,00",-21,"June 5, 2023",saída,lanche,-21,0,
"PAY -PAG*BarRil -03/06 -4,00",-4,"June 5, 2023",saída,lazer,-4,0,
"RSHOP-SUPERMERCAD-03/06 -70,19",-70.19,"June 5, 2023",saída,supermercado,-70.19,0,
"PIX TRANSF CHRISTI05/06 -400,00",-400,"June 5, 2023",saída,outros,-400,0,
"PAY -TABERNA DA -03/06 -34,70",-34.7,"June 5, 2023",saída,lazer,-34.7,0,
"REND PAGO APLIC AUT MAIS 8,89",8.89,"June 5, 2023",entrada,rendimento,0,8.89,
"PAY -SABOR DA EM-02/06 -8,00",-8,"June 2, 2023",saída,lanche,-8,0,
"PIX TRANSF SAIONAR02/06 -17,00",-17,"June 2, 2023",saída,lanche,-17,0,
"PIX TRANSF SAIONAR02/06 -4,00",-4,"June 2, 2023",saída,lanche,-4,0,
"REND PAGO APLIC AUT MAIS 0,42",0.42,"June 2, 2023",entrada,rendimento,0,0.42,
"RSHOP-EDILCE DAS -01/06 -124,66",-124.66,"June 1, 2023",saída,supermercado,-124.66,0,
"PAY -POWER POINT-01/06 -5,00",-5,"June 1, 2023",saída,lanche,-5,0,
"REND PAGO APLIC AUT MAIS 1,87",1.87,"June 1, 2023",entrada,rendimento,0,1.87,
"RSHOP-FEIRA DO MA-31/05 -11,60",-11.6,"May 31, 2023",saída,supermercado,-11.6,0,
"REND PAGO APLIC AUT MAIS 0,17",0.17,"May 31, 2023",entrada,rendimento,0,0.17,
"PAY -PAG*Padaria-30/05 -11,55",-11.55,"May 30, 2023",saída,lanche,-11.55,0,
"PIX QRS Analina da 30/05 -8,00",-8,"May 30, 2023",saída,lanche,-8,0,
"PIX QRS MICHELE & H30/05 -222,30",-222.3,"May 30, 2023",saída,outros,-222.3,0,
"REND PAGO APLIC AUT MAIS 3,44",3.44,"May 30, 2023",entrada,rendimento,0,3.44,
"RSHOP-SUPERMERCAD-28/05 -18,16",-18.16,"May 29, 2023",saída,supermercado,-18.16,0,
"PAY -REST EMGREN-28/05 -44,00",-44,"May 29, 2023",saída,almoço,-44,0,
"RSHOP-SUPERMERCAD-29/05 -140,38",-140.38,"May 29, 2023",saída,supermercado,-140.38,0,
"PAY -GABRIELA PA-28/05 -30,40",-30.4,"May 29, 2023",saída,lanche,-30.4,0,
"REND PAGO APLIC AUT MAIS 3,28",3.28,"May 29, 2023",entrada,rendimento,0,3.28,
"RSHOP-EDILCE DAS -26/05 -35,70",-35.7,"May 26, 2023",saída,supermercado,-35.7,0,
"RSHOP-EDILCE DAS -26/05 -19,29",-19.29,"May 26, 2023",saída,supermercado,-19.29,0,
"PAY -DROGARIA DO-26/05 -4,90",-4.9,"May 26, 2023",saída,outros,-4.9,0,
"PIX TRANSF Henriqu26/05 -22,00",-22,"May 26, 2023",saída,outros,-22,0,
"REND PAGO APLIC AUT MAIS 1,14",1.14,"May 26, 2023",entrada,rendimento,0,1.14,
"PAY -POWER POINT-25/05 -5,00",-5,"May 25, 2023",saída,lanche,-5,0,
"PIX QRS CLARO25/05 -183,52",-183.52,"May 25, 2023",saída,contas,-183.52,0,
"PIX QRS CLARO25/05 -183,54",-183.54,"May 25, 2023",saída,contas,-183.54,0,
"PAY -FLYPS LANCH-25/05 -27,00",-27,"May 25, 2023",saída,lanche,-27,0,
"REND PAGO APLIC AUT MAIS 5,53",5.53,"May 25, 2023",entrada,rendimento,0,5.53,
"PAY -SABOR DA EM-24/05 -4,00",-4,"May 24, 2023",saída,lanche,-4,0,
"RSHOP-SUPERMERCAD-24/05 -106,13",-106.13,"May 24, 2023",saída,supermercado,-106.13,0,
"REND PAGO APLIC AUT MAIS 1,52",1.52,"May 24, 2023",entrada,rendimento,0,1.52,
"RSHOP-SUPERMERCAD-23/05 -98,23",-98.23,"May 23, 2023",saída,supermercado,-98.23,0,
"PAY -PAG*Jaqueli-23/05 -14,00",-14,"May 23, 2023",saída,lanche,-14,0,
"PIX QRS Alipay/AliE23/05 -145,01",-145.01,"May 23, 2023",saída,outros,-145.01,0,
"REND PAGO APLIC AUT MAIS 3,51",3.51,"May 23, 2023",entrada,rendimento,0,3.51,
"RSHOP-SUPERMERCAD-22/05 -50,73",-50.73,"May 22, 2023",saída,supermercado,-50.73,0,
"RSHOP-SUPERMERCAD-22/05 -72,90",-72.9,"May 22, 2023",saída,supermercado,-72.9,0,
"RSHOP-EDILCE DAS -20/05 -54,85",-54.85,"May 22, 2023",saída,supermercado,-54.85,0,
"PAY -MP *LEANDRO-20/05 -45,00",-45,"May 22, 2023",saída,supermercado,-45,0,
"RSHOP-PAG*Aucieli-20/05 -14,50",-14.5,"May 22, 2023",saída,supermercado,-14.5,0,
"REND PAGO APLIC AUT MAIS 3,21",3.21,"May 22, 2023",entrada,rendimento,0,3.21,
"RSHOP-SUPERMERCAD-19/05 -87,52",-87.52,"May 19, 2023",saída,supermercado,-87.52,0,
"REND PAGO APLIC AUT MAIS 1,17",1.17,"May 19, 2023",entrada,rendimento,0,1.17,
"INT COPASA 0123290378937 -49,14",-49.14,"May 18, 2023",saída,contas,-49.14,0,
"RSHOP-EDILCE DAS -18/05 -60,85",-60.85,"May 18, 2023",saída,supermercado,-60.85,0,
"RSHOP-PAG*Aucieli-18/05 -14,30",-14.3,"May 18, 2023",saída,supermercado,-14.3,0,
"PIX TRANSF Pollyan18/05 -300,00",-300,"May 18, 2023",saída,educação,-300,0,
"INT PAG TIT BANCO 001 -100,98",-100.98,"May 18, 2023",saída,contas,-100.98,0,
"INT CEMIG DISTRIBUICA 00 -119,24",-119.24,"May 18, 2023",saída,contas,-119.24,0,
"REND PAGO APLIC AUT MAIS 8,56",8.56,"May 18, 2023",entrada,rendimento,0,8.56,
"PAY -MP *LADEIRA-17/05 -30,50",-30.5,"May 17, 2023",saída,lazer,-30.5,0,
"REND PAGO APLIC AUT MAIS 0,40",0.4,"May 17, 2023",entrada,rendimento,0,0.4,
"PAY -PG *TON BAR-16/05 -27,80",-27.8,"May 16, 2023",saída,lazer,-27.8,0,
"PAY -MP *ESPETIN-16/05 -8,00",-8,"May 16, 2023",saída,lanche,-8,0,
"REND PAGO APLIC AUT MAIS 0,47",0.47,"May 16, 2023",entrada,rendimento,0,0.47,
"PAY -REST EMGREN-13/05 -25,00",-25,"May 15, 2023",saída,almoço,-25,0,
"RSHOP-SUPERMERCAD-13/05 -87,39",-87.39,"May 15, 2023",saída,supermercado,-87.39,0,
"PAY -PAG*LaraAnd-13/05 -21,00",-21,"May 15, 2023",saída,lazer,-21,0,
"PAY -PAG*BarRil -13/05 -17,15",-17.15,"May 15, 2023",saída,lazer,-17.15,0,
"REND PAGO APLIC AUT MAIS 1,95",1.95,"May 15, 2023",entrada,rendimento,0,1.95,
"PAY -PG *TON BAR-12/05 -9,00",-9,"May 12, 2023",saída,lanche,-9,0,
"RSHOP-EDILCE DAS -12/05 -41,40",-41.4,"May 12, 2023",saída,supermercado,-41.4,0,
"REND PAGO APLIC AUT MAIS 0,65",0.65,"May 12, 2023",entrada,rendimento,0,0.65,
"RSHOP-EDILCE DAS -11/05 -12,40",-12.4,"May 11, 2023",saída,supermercado,-12.4,0,
"PAY -POWER POINT-11/05 -115,00",-115,"May 11, 2023",saída,saúde,-115,0,
"RSHOP-EDILCE DAS -11/05 -21,10",-21.1,"May 11, 2023",saída,supermercado,-21.1,0,
"REND PAGO APLIC AUT MAIS 1,89",1.89,"May 11, 2023",entrada,rendimento,0,1.89,
"PAY -POWER POINT-10/05 -5,00",-5,"May 10, 2023",saída,lanche,-5,0,
"RSHOP-SUPERMERCAD-10/05 -187,94",-187.94,"May 10, 2023",saída,supermercado,-187.94,0,
"PIX QRS Amazon Serv10/05 -182,19",-182.19,"May 10, 2023",saída,outros,-182.19,0,
"REND PAGO APLIC AUT MAIS 4,72",4.72,"May 10, 2023",entrada,rendimento,0,4.72,
"PAY -MP *ESPETIN-09/05 -8,00",-8,"May 9, 2023",saída,lanche,-8,0,
"PAY -SABOR DA EM-09/05 -8,00",-8,"May 9, 2023",saída,lanche,-8,0,
"PAY -POWER POINT-09/05 -90,00",-90,"May 9, 2023",saída,saúde,-90,0,
"REND PAGO APLIC AUT MAIS 1,32",1.32,"May 9, 2023",entrada,rendimento,0,1.32,
"RSHOP-EDILCE DAS -06/05 -38,48",-38.48,"May 8, 2023",saída,supermercado,-38.48,0,
"RSHOP-EDILCE DAS -07/05 -53,77",-53.77,"May 8, 2023",saída,supermercado,-53.77,0,
"RSHOP-POSTO LAGOA-06/05 -108,00",-108,"May 8, 2023",saída,outros,-108,0,
"PAY -PG *TON BAR-06/05 -10,60",-10.6,"May 8, 2023",saída,lazer,-10.6,0,
"PAY -MP *LADEIRA-06/05 -36,00",-36,"May 8, 2023",saída,lazer,-36,0,
"PAY -PG *TON LAG-07/05 -23,00",-23,"May 8, 2023",saída,lazer,-23,0,
"RSHOP-SUPERMERCAD-06/05 -87,33",-87.33,"May 8, 2023",saída,supermercado,-87.33,0,
"REND PAGO APLIC AUT MAIS 4,88",4.88,"May 8, 2023",entrada,rendimento,0,4.88,
"RSHOP-SUPERMERCAD-05/05 -15,56",-15.56,"May 5, 2023",saída,supermercado,-15.56,0,
"REND PAGO APLIC AUT MAIS 0,24",0.24,"May 5, 2023",entrada,rendimento,0,0.24,
"PAY -MP *COZINHA-04/05 -50,00",-50,"May 4, 2023",saída,almoço,-50,0,
"PAY -RESTAURANTE-04/05 -18,00",-18,"May 4, 2023",saída,almoço,-18,0,
"PAY -VALERIA BUZ-04/05 -4,00",-4,"May 4, 2023",saída,lanche,-4,0,
"REND PAGO APLIC AUT MAIS 1,16",1.16,"May 4, 2023",entrada,rendimento,0,1.16,
"PAY -POWER POINT-03/05 -5,00",-5,"May 3, 2023",saída,lanche,-5,0,
"PIX TRANSF Rafael 29/04 -180,00",-180,"May 2, 2023",saída,outros,-180,0,
"RSHOP-PADARIA DO -30/04 -16,00",-16,"May 2, 2023",saída,supermercado,-16,0,
"PAY -PAG*BarDoNe-30/04 -20,00",-20,"May 2, 2023",saída,supermercado,-20,0,
"PAY -MARIA APARE-29/04 -8,00",-8,"May 2, 2023",saída,outros,-8,0,
"RSHOP-SUPERMERCAD-30/04 -105,39",-105.39,"May 2, 2023",saída,supermercado,-105.39,0,
"RSHOP-ELDORADO DI-01/05 -15,00",-15,"May 2, 2023",saída,supermercado,-15,0,
"RSHOP-SUPERMERCAD-01/05 -31,63",-31.63,"May 2, 2023",saída,supermercado,-31.63,0,
"REND PAGO APLIC AUT MAIS 5,39",5.39,"May 2, 2023",entrada,rendimento,0,5.39,
"INT SIMPLES NACIONA 0708 -79,82",-79.82,"April 28, 2023",saída,outros,-79.82,0,
"PAY -POWER POINT-28/04 -8,00",-8,"April 28, 2023",saída,lanche,-8,0,
"INT SIMPLES NACIONA 0708 -85,64",-85.64,"April 28, 2023",saída,outros,-85.64,0,
"RSHOP-SUPERMERCAD-28/04 -65,14",-65.14,"April 28, 2023",saída,supermercado,-65.14,0,
"INT SIMPLES NACIONA 0708 -70,10",-70.1,"April 28, 2023",saída,outros,-70.1,0,
"PAY -FLYPS LANCH-28/04 -25,00",-25,"April 28, 2023",saída,lanche,-25,0,
"INT SIMPLES NACIONA 0708 -71,25",-71.25,"April 28, 2023",saída,outros,-71.25,0,
"REND PAGO APLIC AUT APR 5,75",5.75,"April 28, 2023",rendimento,rendimento,0,5.75,
"RSHOP-EDILCE DAS -27/04 -28,60",-28.6,"April 27, 2023",saída,supermercado,-28.6,0,
"REND PAGO APLIC AUT MAIS 0,41",0.41,"April 27, 2023",rendimento,rendimento,0,0.41,
"RSHOP-SUPERMERCAD-26/04 -22,78",-22.78,"April 26, 2023",saída,supermercado,-22.78,0,
"REND PAGO APLIC AUT MAIS 0,32",0.32,"April 26, 2023",rendimento,rendimento,0,0.32,
"RSHOP-PAG*Aucieli-25/04 -23,40",-23.4,"April 25, 2023",saída,supermercado,-23.4,0,
"PAY -POWER POINT-25/04 -8,00",-8,"April 25, 2023",saída,lanche,-8,0,
"RSHOP-EDILCE DAS -25/04 -28,75",-28.75,"April 25, 2023",saída,supermercado,-28.75,0,
"RSHOP-SUPERMERCAD-25/04 -21,93",-21.93,"April 25, 2023",saída,supermercado,-21.93,0,
"RSHOP-FEIRA DO MA-25/04 -25,85",-25.85,"April 25, 2023",saída,supermercado,-25.85,0,
"REND PAGO APLIC AUT MAIS 1,50",1.5,"April 25, 2023",rendimento,rendimento,0,1.5,
"PAY -DROGARIA DO-24/04 -4,90",-4.9,"April 24, 2023",saída,saúde,-4.9,0,
"PAY -PG *TON BAR-23/04 -49,00",-49,"April 24, 2023",saída,lazer,-49,0,
"RSHOP-PAG*Quero2I-22/04 -30,00",-30,"April 24, 2023",saída,lanche,-30,0,
"PAY -FABIANO ROB-21/04 -38,35",-38.35,"April 24, 2023",saída,lazer,-38.35,0,
"PAY -PAG*Padaria-23/04 -16,06",-16.06,"April 24, 2023",saída,lanche,-16.06,0,
"PAY -GABRIELA PA-22/04 -15,00",-15,"April 24, 2023",saída,lanche,-15,0,
"PIX TRANSF MARA AP23/04 -80,00",-80,"April 24, 2023",saída,outros,-80,0,
"PAY -RESTAURANTE-22/04 -28,00",-28,"April 24, 2023",saída,almoço,-28,0,
"PAY -RESTAURANTE-24/04 -17,00",-17,"April 24, 2023",saída,almoço,-17,0,
"PAY -PAG*FlypsLa-22/04 -25,00",-25,"April 24, 2023",saída,lanche,-25,0,
"TED 001.2807.FUNDO G D C 5.227,58",5227.58,"April 24, 2023",entrada,outros,0,5227.58,
"PIX TRANSF Mayara 20/04 -50,00",-50,"April 20, 2023",saída,outros,-50,0,
"PAY -REST EMGREN-20/04 -18,00",-18,"April 20, 2023",saída,almoço,-18,0,
"PAY -SUPERMERCAD-20/04 -98,52",-98.52,"April 20, 2023",saída,supermercado,-98.52,0,
"REND PAGO APLIC AUT MAIS 2,27",2.27,"April 20, 2023",rendimento,rendimento,0,2.27,
"RSHOP-RESTAURANTE-19/04 -36,00",-36,"April 19, 2023",saída,almoço,-36,0,
"PAY -FEIRA DO MA-19/04 -26,20",-26.2,"April 19, 2023",saída,supermercado,-26.2,0,
"REND PAGO APLIC AUT MAIS 0,84",0.84,"April 19, 2023",rendimento,rendimento,0,0.84,
"RSHOP-SUP LAGOA -18/04 -72,90",-72.9,"April 18, 2023",saída,supermercado,-72.9,0,
"RSHOP-SUPERMERCAD-18/04 -49,62",-49.62,"April 18, 2023",saída,supermercado,-49.62,0,
"REND PAGO APLIC AUT MAIS 1,64",1.64,"April 18, 2023",rendimento,rendimento,0,1.64,
"RSHOP-SUPERMERCAD-17/04 -67,52",-67.52,"April 17, 2023",saída,supermercado,-67.52,0,
"PAY -GABRIELA PA-16/04 -5,00",-5,"April 17, 2023",saída,lanche,-5,0,
"PIX TRANSF Eric Bo17/04 -300,00",-300,"April 17, 2023",saída,outros,-300,0,
"RSHOP-SUPERMERCAD-17/04 -17,73",-17.73,"April 17, 2023",saída,supermercado,-17.73,0,
"INT COPASA 0123219784111 -35,66",-35.66,"April 17, 2023",saída,contas,-35.66,0,
"PAY -GABRIELA PA-15/04 -15,00",-15,"April 17, 2023",saída,lanche,-15,0,
"PAY -PG *TON JAK-16/04 -22,00",-22,"April 17, 2023",saída,outros,-22,0,
"RSHOP-EDILCE DAS -15/04 -26,45",-26.45,"April 17, 2023",saída,supermercado,-26.45,0,
"PAY -DROGARIA DO-15/04 -5,00",-5,"April 17, 2023",saída,saúde,-5,0,
"PAY -GABRIELA PA-16/04 -15,00",-15,"April 17, 2023",saída,lanche,-15,0,
"RSHOP-EDILCE DAS -15/04 -138,60",-138.6,"April 17, 2023",saída,supermercado,-138.6,0,
"PAY -MP *LADEIRA-15/04 -17,00",-17,"April 17, 2023",saída,lanche,-17,0,
"INT PAG TIT BANCO 001 -100,65",-100.65,"April 17, 2023",saída,contas,-100.65,0,
"PAY -GABRIELA PA-16/04 -10,00",-10,"April 17, 2023",saída,lanche,-10,0,
"PAY -GABRIELA PA-15/04 -10,00",-10,"April 17, 2023",saída,lanche,-10,0,
"PIX TRANSF Pollyan17/04 -300,00",-300,"April 17, 2023",saída,educação,-300,0,
"PAY -GABRIELA PA-16/04 -8,00",-8,"April 17, 2023",saída,lanche,-8,0,
"PAY -POWER POINT-17/04 -8,00",-8,"April 17, 2023",saída,lanche,-8,0,
"REND PAGO APLIC AUT MAIS 14,63",14.63,"April 17, 2023",rendimento,rendimento,0,14.63,
"RSHOP-SUPERMERCAD-13/04 -52,47",-52.47,"April 13, 2023",saída,supermercado,-52.47,0,
"PAY -TABERNA DA -13/04 -44,40",-44.4,"April 13, 2023",saída,lanche,-44.4,0,
"REND PAGO APLIC AUT MAIS 1,27",1.27,"April 13, 2023",rendimento,rendimento,0,1.27,
"RSHOP-FEIRA DO MA-12/04 -23,50",-23.5,"April 12, 2023",saída,supermercado,-23.5,0,
"REND PAGO APLIC AUT MAIS 0,31",0.31,"April 12, 2023",rendimento,rendimento,0,0.31,
"PAY -POWER POINT-11/04 -270,00",-270,"April 11, 2023",saída,saúde,-270,0,
"RSHOP-EDILCE DAS -11/04 -47,74",-47.74,"April 11, 2023",saída,supermercado,-47.74,0,
"REND PAGO APLIC AUT MAIS 4,07",4.07,"April 11, 2023",rendimento,rendimento,0,4.07,
"PAY -TABERNA DA -09/04 -16,00",-16,"April 10, 2023",saída,lazer,-16,0,
"RSHOP-FEIRA DO MA-07/04 -48,40",-48.4,"April 10, 2023",saída,supermercado,-48.4,0,
"PAY -POWER POINT-10/04 -2,50",-2.5,"April 10, 2023",saída,lanche,-2.5,0,
"PAY -MP *COZINHA-07/04 -36,00",-36,"April 10, 2023",saída,almoço,-36,0,
"PAY -TABERNA DA -09/04 -5,00",-5,"April 10, 2023",saída,lazer,-5,0,
"RSHOP-SUPERMERCAD-08/04 -45,45",-45.45,"April 10, 2023",saída,supermercado,-45.45,0,
"PAY -PG *TON BAR-08/04 -37,00",-37,"April 10, 2023",saída,lazer,-37,0,
"PAY -PAG*Padaria-08/04 -6,30",-6.3,"April 10, 2023",saída,lanche,-6.3,0,
"PAY -PG *TON HAR-10/04 -49,40",-49.4,"April 10, 2023",saída,lazer,-49.4,0,
"RSHOP-RESTAURANTE-08/04 -31,00",-31,"April 10, 2023",saída,almoço,-31,0,
"PAY -PG *TON BAR-08/04 -9,00",-9,"April 10, 2023",saída,lazer,-9,0,
"PAY -TABERNA DA -09/04 -15,00",-15,"April 10, 2023",saída,lazer,-15,0,
"PAY -TABERNA DA -09/04 -59,90",-59.9,"April 10, 2023",saída,lazer,-59.9,0,
"PIX TRANSF Taissa 09/04 -40,00",-40,"April 10, 2023",saída,lazer,-40,0,
"REND PAGO APLIC AUT MAIS 5,09",5.09,"April 10, 2023",rendimento,rendimento,0,5.09,
"PAY -O REAL ROCA-06/04 -6,15",-6.15,"April 6, 2023",saída,lanche,-6.15,0,
"RSHOP-EDILCE DAS -06/04 -187,79",-187.79,"April 6, 2023",saída,supermercado,-187.79,0,
"REND PAGO APLIC AUT MAIS 2,44",2.44,"April 6, 2023",rendimento,rendimento,0,2.44,
"PAY -PAG*Daespet-05/04 -15,00",-15,"April 5, 2023",saída,lanche,-15,0,
"PAY -POWER POINT-05/04 -98,00",-98,"April 5, 2023",saída,saúde,-98,0,
"REND PAGO APLIC AUT MAIS 1,41",1.41,"April 5, 2023",rendimento,rendimento,0,1.41,
"INT CLARO S.A 013000000 -178,53",-178.53,"April 4, 2023",saída,contas,-178.53,0,
"RSHOP-EDILCE DAS -04/04 -92,50",-92.5,"April 4, 2023",saída,supermercado,-92.5,0,
"INT CLARO S.A 013000000 -180,23",-180.23,"April 4, 2023",saída,contas,-180.23,0,
"REND PAGO APLIC AUT MAIS 5,57",5.57,"April 4, 2023",rendimento,rendimento,0,5.57,
"PAY -GERALDO RES-01/04 -12,50",-12.5,"April 3, 2023",saída,lazer,-12.5,0,
"PAY -REST PIZZAR-02/04 -37,00",-37,"April 3, 2023",saída,lanche,-37,0,
"PAY -VALERIA BUZ-02/04 -12,00",-12,"April 3, 2023",saída,lanche,-12,0,
"PIX TRANSF NELSON 02/04 -12,00",-12,"April 3, 2023",saída,lazer,-12,0,
"PAY -SUPERMERCAD-03/04 -11,95",-11.95,"April 3, 2023",saída,supermercado,-11.95,0,
"PAY -MP *LADEIRA-01/04 -30,90",-30.9,"April 3, 2023",saída,lazer,-30.9,0,
"REND PAGO APLIC AUT MAIS 1,42",1.42,"April 3, 2023",rendimento,rendimento,0,1.42,
"RSHOP-FEIRA DO MA-31/03 -24,15",-24.15,"March 31, 2023",saída,,-24.15,0,
"RSHOP-SUPERMERCAD-31/03 -10,89",-10.89,"March 31, 2023",saída,,-10.89,0,
"PAY -TABERNA DA -31/03 -47,00",-47,"March 31, 2023",saída,,-47,0,
"REND PAGO APLIC AUT APR 1,00",1,"March 31, 2023",entrada,,0,1,
"RSHOP-SUPERMERCAD-30/03 -25,69",-25.69,"March 30, 2023",saída,,-25.69,0,
"PAY -PAG*Daespet-30/03 -8,00",-8,"March 30, 2023",saída,,-8,0,
"RSHOP-BAR DO CIZI-30/03 -12,00",-12,"March 30, 2023",saída,,-12,0,
"PAY -PAG*Daespet-30/03 -7,00",-7,"March 30, 2023",saída,,-7,0,
"REND PAGO APLIC AUT MAIS 0,63",0.63,"March 30, 2023",entrada,,0,0.63,
"RSHOP-SUPERMERCAD-29/03 -113,50",-113.5,"March 29, 2023",saída,,-113.5,0,
"PAY -ELDORADO DI-29/03 -20,00",-20,"March 29, 2023",saída,,-20,0,
"PAY -DROGARIA DO-29/03 -18,90",-18.9,"March 29, 2023",saída,,-18.9,0,
"REND PAGO APLIC AUT MAIS 1,81",1.81,"March 29, 2023",entrada,,0,1.81,
"PAY -SUPERMERCAD-28/03 -6,11",-6.11,"March 28, 2023",saída,,-6.11,0,
"PAY -REST EMGREN-28/03 -17,00",-17,"March 28, 2023",saída,,-17,0,
"PIX TRANSF CHRISTI28/03 -400,00",-400,"March 28, 2023",saída,,-400,0,
"PAY -VALERIA BUZ-28/03 -4,00",-4,"March 28, 2023",saída,,-4,0,
"REND PAGO APLIC AUT MAIS 5,03",5.03,"March 28, 2023",entrada,,0,5.03,
"RSHOP-SUPERMERCAD-25/03 -180,88",-180.88,"March 27, 2023",saída,,-180.88,0,
"PAY -PAG*Familia-25/03 -60,00",-60,"March 27, 2023",saída,,-60,0,
"PAY -SANDUICHERI-25/03 -11,00",-11,"March 27, 2023",saída,,-11,0,
"RSHOP-BAR DO CIZI-26/03 -32,00",-32,"March 27, 2023",saída,,-32,0,
"RSHOP-EDILCE DAS -26/03 -73,59",-73.59,"March 27, 2023",saída,,-73.59,0,
"PAY -SANDUICHERI-25/03 -37,00",-37,"March 27, 2023",saída,,-37,0,
"PAY -CAFEXO -25/03 -20,50",-20.5,"March 27, 2023",saída,,-20.5,0,
"RSHOP-SUPERMERCAD-27/03 -126,77",-126.77,"March 27, 2023",saída,,-126.77,0,
"PAY -HONGFA SU -25/03 -8,00",-8,"March 27, 2023",saída,,-8,0,
"RSHOP-POSTO LAGOA-25/03 -40,00",-40,"March 27, 2023",saída,,-40,0,
"TED 422.0115.SANTILLANA 252,00",252,"March 27, 2023",entrada,,0,252,
"TED 422.0115.SANTILLANA 3.109,46",3109.46,"March 27, 2023",entrada,,0,3109.46,
"PAY -ELDORADO DI-24/03 -30,00",-30,"March 24, 2023",saída,,-30,0,
"PAY -PAG*Daespet-24/03 -22,00",-22,"March 24, 2023",saída,,-22,0,
"REND PAGO APLIC AUT MAIS 0,61",0.61,"March 24, 2023",entrada,,0,0.61,
"INT PAG TIT BANCO 001 -102,63",-102.63,"March 23, 2023",saída,,-102.63,0,
"PIX TRANSF Pollyan23/03 -375,00",-375,"March 23, 2023",saída,,-375,0,
"PAY -PAG*Daespet-23/03 -8,00",-8,"March 23, 2023",saída,,-8,0,
"PIX QRS CEMIG DISTR23/03 -144,04",-144.04,"March 23, 2023",saída,,-144.04,0,
"INT COPASA 0123151906012 -29,05",-29.05,"March 23, 2023",saída,,-29.05,0,
"RSHOP-SUPERMERCAD-23/03 -86,28",-86.28,"March 23, 2023",saída,,-86.28,0,
"REND PAGO APLIC AUT MAIS 8,58",8.58,"March 23, 2023",entrada,,0,8.58,
"PAY -PAG*Jaqueli-22/03 -12,00",-12,"March 22, 2023",saída,,-12,0,
"PIX TRANSF Carlos 22/03 -1.170,00",-1170,"March 22, 2023",saída,,-1170,0,
"REND PAGO APLIC AUT MAIS 13,48",13.48,"March 22, 2023",entrada,,0,13.48,
"RSHOP-EDILCE DAS -21/03 -35,40",-35.4,"March 21, 2023",saída,,-35.4,0,
"RSHOP-SUPERMERCAD-21/03 -87,21",-87.21,"March 21, 2023",saída,,-87.21,0,
"REND PAGO APLIC AUT MAIS 1,38",1.38,"March 21, 2023",entrada,,0,1.38,
"RSHOP-EDILCE DAS -20/03 -30,28",-30.28,"March 20, 2023",saída,,-30.28,0,
"PAY -RESTAURANTE-19/03 -32,00",-32,"March 20, 2023",saída,,-32,0,
"PAY -O REAL ROCA-18/03 -11,50",-11.5,"March 20, 2023",saída,,-11.5,0,
"PAY -MP *LADEIRA-19/03 -12,00",-12,"March 20, 2023",saída,,-12,0,
"RSHOP-EDILCE DAS -18/03 -44,58",-44.58,"March 20, 2023",saída,,-44.58,0,
"REND PAGO APLIC AUT MAIS 1,45",1.45,"March 20, 2023",entrada,,0,1.45,
"PIX TRANSF DIVANIL17/03 -31,21",-31.21,"March 17, 2023",saída,,-31.21,0,
"RSHOP-EDILCE DAS -17/03 -45,35",-45.35,"March 17, 2023",saída,,-45.35,0,
"REND PAGO APLIC AUT MAIS 0,85",0.85,"March 17, 2023",entrada,,0,0.85,
"RSHOP-PAG*PauloAn-16/03 -14,50",-14.5,"March 16, 2023",saída,,-14.5,0,
"PAY -POWER POINT-16/03 -130,00",-130,"March 16, 2023",saída,,-130,0,
"REND PAGO APLIC AUT MAIS 1,58",1.58,"March 16, 2023",entrada,,0,1.58,
"PAY -SABOR DA EM-14/03 -4,00",-4,"March 14, 2023",saída,,-4,0,
"RSHOP-SUPERMERCAD-14/03 -102,50",-102.5,"March 14, 2023",saída,,-102.5,0,
"REND PAGO APLIC AUT MAIS 1,14",1.14,"March 14, 2023",entrada,,0,1.14,
"RSHOP-ELDORADO DI-11/03 -64,00",-64,"March 13, 2023",saída,,-64,0,
"RSHOP-EDILCE DAS -11/03 -25,20",-25.2,"March 13, 2023",saída,,-25.2,0,
"PAY -DROGARIA DO-13/03 -9,90",-9.9,"March 13, 2023",saída,,-9.9,0,
"RSHOP-SUPERMERCAD-13/03 -34,83",-34.83,"March 13, 2023",saída,,-34.83,0,
"RSHOP-EDILCE DAS -12/03 -53,45",-53.45,"March 13, 2023",saída,,-53.45,0,
"PAY -GABRIELA PA-11/03 -24,00",-24,"March 13, 2023",saída,,-24,0,
"PAY -REST EMGREN-12/03 -35,00",-35,"March 13, 2023",saída,,-35,0,
"REND PAGO APLIC AUT MAIS 2,61",2.61,"March 13, 2023",entrada,,0,2.61,
"PAY -PAG*Daespet-10/03 -15,00",-15,"March 10, 2023",saída,,-15,0,
"RSHOP-SUPERMERCAD-10/03 -39,20",-39.2,"March 10, 2023",saída,,-39.2,0,
"REND PAGO APLIC AUT MAIS 0,57",0.57,"March 10, 2023",entrada,,0,0.57,
"PAY -O REAL ROCA-07/03 -20,00",-20,"March 7, 2023",saída,,-20,0,
"PAY -POWER POINT-07/03 -180,00",-180,"March 7, 2023",saída,,-180,0,
